Geographic Location,Payee Name of Record,Address1 of Record,Address 2 of Record,City of Record,State of Record,Zip of Record
State of California,JTN HOSPICE INC,,,,,
"Cook County, Illinois",TUR VENTURES LLC,1200 E ALGONQUIN RD,,MOUNT PROSPECT,IL,60056
State of California,JTN HOSPICE INC,,,,,
"Cook County, Illinois",SAKS & COMPANY,700 N MICHIGAN AVE,,CHICAGO,IL,60611
"Cook County, Illinois",FRANKLIN KINZIE OFFICE,28 W KINZIE ST,,CHICAGO,IL,60654
State of California,TCW LLC,,,,,
"Cook County, Illinois",NORTHWESTERN MEM HOSP,211 E ONTARIO ST,,CHICAGO,IL,60611
"Cook County, Illinois",GROSS POINT PROP. LLC,9700  GROSS POINT RD,,SKOKIE,IL,60076
State of California,GOOP INC,,,,,
"Cook County, Illinois",ARTHUR J GALLAGHER,2850 E GOLF RD,,ROLLING MEADOWS,IL,60008
"Cook County, Illinois",LOGOS MISSIONS INC,2315  SANDERS RD,,NORTHBROOK,IL,60062
"Cook County, Illinois",SIDCOR DEMPSTER ASSOC,8730 W DEMPSTER ST,,NILES,IL,60714
"Cook County, Illinois",NORTHWESTERN MEM HOSP,2701  PATRIOT BLVD,,GLENVIEW,IL,60026
"Cook County, Illinois",JACOBSON LORMAX ORLAND,16727  LA GRANGE RD,,ORLAND HILLS,IL,60487
"Cook County, Illinois",UOP LLC,1055 S MOUNT PROSPECT RD,,DES PLAINES,IL,0
"Cook County, Illinois",NORTHWESTERN MEM HOSP,217 E ONTARIO ST,,CHICAGO,IL,60611
"Cook County, Illinois",SWEDISH COV HOSPT,5145 N CALIFORNIA AVE,,CHICAGO,IL,60625
State of California,INTERNATIONAL RESCUE COMMITTEE,,,,,
"Cook County, Illinois",HENIFF TRANSPORTATION,3301 W 167TH ST,,HAZEL CREST,IL,60429
"Cook County, Illinois",ST GEORGE CORP,15300  WEST AVE,,ORLAND PARK,IL,60462
"Cook County, Illinois",UNIVERSITY OF CHICAGO,1201 E 60TH ST,,CHICAGO,IL,60637
"Cook County, Illinois",EJATT,6201 W 115TH ST,,ALSIP,IL,60803
"Cook County, Illinois",700 NORTH MICHIGAN AV,700 N MICHIGAN AVE,,CHICAGO,IL,60611
"Cook County, Illinois",FED EX CORP,1  OHARE INTERNTL,,CHICAGO,IL,0
"Cook County, Illinois",NORTH UNION LAND OWNER,917  FRANKLIN,,CHICAGO,IL,60610
State of California,WARBURG PINCUS PRIVATE EQUITY,,,,,
State of California,CITIZENS OF THE WORLD CHARTER,,,,,
"Cook County, Illinois",535 N MICHIGAN VENTURE,535 N MICHIGAN AVE,,CHICAGO,IL,60611
